model,k,recall,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.06981953951462352,0.03386681568300838,0.023019379500400033,0.023019379500400033,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12333540759178593,0.04726697903491635,0.026630046716708038,0.026630046716708038,8035
final_retrieval_two_tower_faiss_hybrid,50,0.24107031736154325,0.07042937169613438,0.03026557664206537,0.03026557664206537,8035
final_ranker_two_tower_hybrid,10,0.0878655880522713,0.041160195134112225,0.027278375361760487,0.027278375361760487,8035
final_ranker_two_tower_hybrid,20,0.1449906658369633,0.05541264295476996,0.03108902046730643,0.03108902046730643,8035
final_ranker_two_tower_hybrid,50,0.26048537647790915,0.07819805385348301,0.034692042765036166,0.034692042765036166,8035
