model,recall_mean,recall_std,ndcg_mean,ndcg_std,map_mean,map_std,mrr_mean,mrr_std
final_ranker_ensemble,0.16029869321717485,0.01130491789358403,0.0616977769652062,0.004112576607676047,0.034858182383853686,0.0022515722111787944,0.034858182383853686,0.0022515722111787944
final_ranker_two_tower_hybrid3,0.1583903754407799,0.008836633152338048,0.06112544432655992,0.0031658558354394372,0.034674527107974175,0.0017127700344676381,0.034674527107974175,0.0017127700344676381
baseline_ranker,0.1541588881974694,0.012458818897122397,0.05886071995274109,0.004816036020618243,0.032987501070457566,0.002829478090467197,0.032987501070457566,0.002829478090467197
baseline_retrieval_als,0.13930719767683053,0.007265828619845278,0.05256827288148205,0.0025173318724753617,0.02919748832509568,0.0016122181585672584,0.02919748832509568,0.0016122181585672584
final_retrieval_two_tower_faiss_hybrid3,0.13466085874299938,0.004207627007934541,0.05126549951183309,0.0014936350139984481,0.02873614141917867,0.001182757311000938,0.02873614141917867,0.001182757311000938
