model,k,recall,hitrate,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid3,10,0.07554449284380833,0.07554449284380833,0.036384244692552054,0.024661204452741448,0.024661204452741448,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.13030491599253266,0.13030491599253266,0.05004347621865315,0.02831384793395041,0.02831384793395041,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.24965774735532048,0.24965774735532048,0.07353463063377955,0.032004728992874674,0.032004728992874674,8035
final_ranker_two_tower_hybrid3,10,0.08998133167392657,0.08998133167392657,0.04328743246466829,0.029281763317233103,0.029281763317233103,8035
final_ranker_two_tower_hybrid3,20,0.14872433105164903,0.14872433105164903,0.05804718077691951,0.03328602436711114,0.03328602436711114,8035
final_ranker_two_tower_hybrid3,50,0.2700684505289359,0.2700684505289359,0.08199995512494451,0.03708113754466113,0.03708113754466113,8035
final_ranker_ensemble,10,0.08749222153080274,0.08749222153080274,0.04216254205315369,0.028517794174296923,0.028517794174296923,8035
final_ranker_ensemble,20,0.15158680771624145,0.15158680771624145,0.05828544830220934,0.03289897731949338,0.03289897731949338,8035
final_ranker_ensemble,50,0.27181082762912256,0.27181082762912256,0.08186851926120936,0.03657133805594818,0.03657133805594818,8035
