model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07790914747977598,0.07790914747977598,0.037008250040050227,0.024843442873934446,0.024843442873934446,8035
baseline_retrieval_als,20,0.13092719352831364,0.13092719352831364,0.05025397703827927,0.028396076261500574,0.028396076261500574,8035
baseline_retrieval_als,50,0.2517734909769757,0.2517734909769757,0.07407351964712641,0.03215568079591681,0.03215568079591681,8035
baseline_ranker,10,0.08413192283758557,0.08413192283758557,0.04009532214505404,0.026973755691863912,0.026973755691863912,8035
baseline_ranker,20,0.14100808960796515,0.14100808960796515,0.05430672894937989,0.030784123581550048,0.030784123581550048,8035
baseline_ranker,50,0.26172993154947105,0.26172993154947105,0.07809426866458063,0.03453733204582102,0.03453733204582102,8035
