model,k,recall,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.06969508400746734,0.03414282007397027,0.023462381841348832,0.023462381841348832,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12457996266334785,0.04795745488837105,0.027219748232302617,0.027219748232302617,8035
final_retrieval_two_tower_faiss_hybrid,50,0.24704418170504044,0.07206148069022851,0.03100869379478834,0.03100869379478834,8035
final_ranker_two_tower_hybrid,10,0.08724331051649035,0.0414947337346864,0.02782696733536803,0.02782696733536803,8035
final_ranker_two_tower_hybrid,20,0.14536403235843187,0.05613366897846085,0.03181487324080872,0.03181487324080872,8035
final_ranker_two_tower_hybrid,50,0.2691972619788426,0.08054250832324816,0.03566772717393875,0.03566772717393875,8035
final_ranker_ensemble,10,0.08761667703795893,0.04174882454363686,0.027985845655416234,0.027985845655416234,8035
final_ranker_ensemble,20,0.14561294337274425,0.0562929510444582,0.03191597355623359,0.03191597355623359,8035
final_ranker_ensemble,50,0.2728064716863721,0.08124729612353189,0.03580800241945156,0.03580800241945156,8035
