model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07977598008711885,0.07977598008711885,0.038848752442684806,0.026629330014519777,0.026629330014519777,8035
baseline_retrieval_als,20,0.14561294337274425,0.14561294337274425,0.0552576138899537,0.03101082337712042,0.03101082337712042,8035
baseline_retrieval_als,50,0.2879900435594275,0.2879900435594275,0.0833717738584208,0.03546749855655262,0.03546749855655262,8035
baseline_ranker,10,0.09769757311761046,0.09769757311761046,0.046842545593111296,0.031558360743177104,0.031558360743177104,8035
baseline_ranker,20,0.16228998133167394,0.16228998133167394,0.06310345848976795,0.03598528983218832,0.03598528983218832,8035
baseline_ranker,50,0.29757311761045424,0.29757311761045424,0.08971943300472444,0.04016456260106325,0.04016456260106325,8035
