model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07821609377514266,0.07821609377514266,0.03685365481473917,0.024523717671764072,0.024523717671764072,161578
baseline_retrieval_als,20,0.1364665981754942,0.1364665981754942,0.05145412580165508,0.02846468158642949,0.02846468158642949,161578
baseline_retrieval_als,50,0.2698325267053683,0.2698325267053683,0.0777292165411699,0.032605662568293094,0.032605662568293094,161578
baseline_ranker,10,0.10725470051615937,0.10725470051615937,0.05475429687619037,0.03896996919469047,0.03896996919469047,161578
baseline_ranker,20,0.17086484546163463,0.17086484546163463,0.07070377221493576,0.04327799043100991,0.04327799043100991,161578
baseline_ranker,50,0.29686590996299,0.29686590996299,0.09556738816749952,0.04721337169539894,0.04721337169539894,161578
