model,k,recall,hitrate,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid3,10,0.07529558182949596,0.07529558182949596,0.03636954969149583,0.024728469691133,0.024728469691133,8035
final_retrieval_two_tower_faiss_hybrid3,20,0.12607342874922214,0.12607342874922214,0.04912949210197717,0.02818981961098685,0.02818981961098685,8035
final_retrieval_two_tower_faiss_hybrid3,50,0.24517734909769756,0.24517734909769756,0.07268651599277887,0.03193909592554662,0.03193909592554662,8035
final_ranker_two_tower_hybrid3,10,0.0924704418170504,0.0924704418170504,0.044853193352430404,0.030598275402257902,0.030598275402257902,8035
final_ranker_two_tower_hybrid3,20,0.14723086496577473,0.14723086496577473,0.05861409409599492,0.03432990221062811,0.03432990221062811,8035
final_ranker_two_tower_hybrid3,50,0.2749222153080274,0.2749222153080274,0.08377176884538969,0.0382934498626389,0.0382934498626389,8035
final_ranker_ensemble,10,0.08998133167392657,0.08998133167392657,0.04329139611846381,0.029285664898608205,0.029285664898608205,8035
final_ranker_ensemble,20,0.1489732420659614,0.1489732420659614,0.0580302083802741,0.033239673838895284,0.033239673838895284,8035
final_ranker_ensemble,50,0.274673304293715,0.274673304293715,0.08262179349679957,0.03704408171411256,0.03704408171411256,8035
