model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07766023646546359,0.07766023646546359,0.03689545389108566,0.0247607688584664,0.0247607688584664,8035
baseline_retrieval_als,20,0.13092719352831364,0.13092719352831364,0.05020713049357091,0.028333279847297478,0.028333279847297478,8035
baseline_retrieval_als,50,0.25152457996266336,0.25152457996266336,0.07399101531107358,0.03209273373651967,0.03209273373651967,8035
baseline_ranker,10,0.08164281269446173,0.08164281269446173,0.03998332395971039,0.027449007813040133,0.027449007813040133,8035
baseline_ranker,20,0.1401369010578718,0.1401369010578718,0.0546959282440099,0.03144622640370252,0.03144622640370252,8035
baseline_ranker,50,0.2642190416925949,0.2642190416925949,0.07904234580971624,0.03524406602699692,0.03524406602699692,8035
