model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.0777846919726198,0.0777846919726198,0.03697038749776776,0.02483460258195787,0.02483460258195787,8035
baseline_retrieval_als,20,0.13042937149968886,0.13042937149968886,0.05013913919332969,0.02837440010573805,0.02837440010573805,8035
baseline_retrieval_als,50,0.25152457996266336,0.25152457996266336,0.07403556290956824,0.032158261473027895,0.032158261473027895,8035
baseline_ranker,10,0.08487865588052271,0.08487865588052271,0.04154436198789249,0.028503768236188855,0.028503768236188855,8035
baseline_ranker,20,0.1416303671437461,0.1416303671437461,0.05586498389530831,0.032420442253289446,0.032420442253289446,8035
baseline_ranker,50,0.2654635967641568,0.2654635967641568,0.08022172159752673,0.0362425666024745,0.0362425666024745,8035
