config,recall@20,hitrate@20,ndcg@20,map@20
als_gpu,0.1476042314872433,0.1476042314872433,0.0574330662136176,0.0328625104311776
cosine,0.1372744243932794,0.1372744243932794,0.0529710467171361,0.0298777530739814
bm25,0.1351586807716241,0.1351586807716241,0.0520175077789131,0.0294465469965796
