model,recall_final_gpu,ndcg_final_gpu,map_final_gpu,mrr_final_gpu,recall_aggressive,ndcg_aggressive,map_aggressive,mrr_aggressive,ndcg_delta_aggressive_minus_final_gpu
baseline_retrieval_als,0.1306782825140012,0.0501678538895982,0.0283416305056102,0.0283416305056102,0.1308027380211574,0.050512533032084,0.02874705293867,0.02874705293867,0.00034467914248580145
baseline_ranker,0.1397635345364032,0.054692993422642,0.0314980613722331,0.0314980613722331,0.1391412570006222,0.0534468020201234,0.0300787521880417,0.0300787521880417,-0.0012461914025186024
final_retrieval_two_tower_faiss_hybrid,0.1244555071561916,0.0479685046208791,0.0272536012447602,0.0272536012447602,0.1212196639701306,0.0475475396067912,0.0275965243122667,0.0275965243122667,-0.0004209650140878998
final_ranker_two_tower_hybrid,0.1464841319228375,0.0550203610282402,0.0302338283360552,0.0302338283360552,0.1408836341008089,0.0535751947824897,0.0298633315594713,0.0298633315594713,-0.001445166245750501
final_ranker_ensemble,0.1438705662725575,0.0558533970321697,0.0318905657822085,0.0318905657822085,0.1416303671437461,0.0540453239153088,0.0301909408202936,0.0301909408202936,-0.0018080731168608963
