model,k,recall,hitrate,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.06957062850031114,0.06957062850031114,0.03415355770521461,0.023506632688337695,0.023506632688337695,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12433105164903548,0.12433105164903548,0.04795087675169267,0.02726623185250878,0.02726623185250878,8035
final_retrieval_two_tower_faiss_hybrid,50,0.24667081518357187,0.24667081518357187,0.07204480177768877,0.03105929906442813,0.03105929906442813,8035
final_ranker_two_tower_hybrid,10,0.08799004355942751,0.08799004355942751,0.04154646698841663,0.02771273495915681,0.02771273495915681,8035
final_ranker_two_tower_hybrid,20,0.14424393279402614,0.14424393279402614,0.05562414742325937,0.031499918703898566,0.031499918703898566,8035
final_ranker_two_tower_hybrid,50,0.2677037958929683,0.2677037958929683,0.07993403663221893,0.035323949575354334,0.035323949575354334,8035
final_ranker_ensemble,10,0.08861232109520846,0.08861232109520846,0.04264566965649752,0.028870665046769533,0.028870665046769533,8035
final_ranker_ensemble,20,0.1476042314872433,0.1476042314872433,0.05743306621361765,0.03286251043117768,0.03286251043117768,8035
final_ranker_ensemble,50,0.2691972619788426,0.2691972619788426,0.08133625265493193,0.03660540218839215,0.03660540218839215,8035
