model,k,recall,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.07193528313627878,0.033630422278508515,0.02226736203711932,0.02226736203711932,8035
final_retrieval_two_tower_faiss_hybrid,20,0.13391412570006223,0.04923860541475311,0.02651981835929867,0.02651981835929867,8035
final_retrieval_two_tower_faiss_hybrid,50,0.2640945861854387,0.07475717594192004,0.030487165672994605,0.030487165672994605,8035
final_ranker_two_tower_hybrid,10,0.08574984443061605,0.04157667481468057,0.028307454489781763,0.028307454489781763,8035
final_ranker_two_tower_hybrid,20,0.15581829495955196,0.05915651550886524,0.033060914486392354,0.033060914486392354,8035
final_ranker_two_tower_hybrid,50,0.29072806471686374,0.0856298609470324,0.03718851914508971,0.03718851914508971,8035
final_ranker_ensemble,10,0.08898568761667704,0.042368810831985036,0.028410080896079607,0.028410080896079607,8035
final_ranker_ensemble,20,0.15544492843808339,0.059051124788394006,0.03292674728588812,0.03292674728588812,8035
final_ranker_ensemble,50,0.29471064094586186,0.08643015704859501,0.037218348600178607,0.037218348600178607,8035
