two_tower_weight,als_weight,aux_weight,aux_algorithm,k,ranker_recall,ranker_ndcg,ranker_map,ranker_mrr,retrieval_recall,retrieval_ndcg,tables_dir
0.4,0.5,0.1,cosine,20,0.14872433105164903,0.05853372347221566,0.033956180021054765,0.033956180021054765,0.1298070939639079,0.04991432757031154,outputs/gpu_hybrid3_cosine/tables/sweeps/tt_40_als_50_aux_10
0.45,0.5,0.05,cosine,20,0.15196017423771002,0.05847010492738336,0.03295893474923008,0.03295893474923008,0.1269446172993155,0.04897138822896329,outputs/gpu_hybrid3_cosine/tables/sweeps/tt_45_als_50_aux_05
0.45,0.45000000000000007,0.1,cosine,20,0.1492221530802738,0.05821289706802842,0.03348583106842246,0.03348583106842246,0.12719352831362787,0.049450555482345865,outputs/gpu_hybrid3_cosine/tables/sweeps/tt_45_als_45_aux_10
0.4,0.5499999999999999,0.05,cosine,20,0.146110765401369,0.05767345172071509,0.03348753206496798,0.03348753206496798,0.12918481642812696,0.0495720569086102,outputs/gpu_hybrid3_cosine/tables/sweeps/tt_40_als_55_aux_05
