baseline_weight,final_weight,k,ranker_recall,ranker_ndcg,ranker_map,ranker_mrr,tables_dir
0.55,0.44999999999999996,20,0.15158680771624145,0.05828544830220934,0.03289897731949338,0.03289897731949338,outputs/gpu_hybrid3_cosine/tables/ens_sweeps/ens_b55_f45
0.45,0.55,20,0.14847542003733666,0.05786618880764271,0.033173202583584936,0.033173202583584936,outputs/gpu_hybrid3_cosine/tables/ens_sweeps/ens_b45_f55
0.65,0.35,20,0.1476042314872433,0.056595385603122425,0.031886568322122104,0.031886568322122104,outputs/gpu_hybrid3_cosine/tables/ens_sweeps/ens_b65_f35
0.75,0.25,20,0.1462352209085252,0.055995592692739966,0.031414702017511675,0.031414702017511675,outputs/gpu_hybrid3_cosine/tables/ens_sweeps/ens_b75_f25
