model,recall_best,ndcg_best,map_best,mrr_best,recall_robust,ndcg_robust,map_robust,mrr_robust,recall_delta_robust_minus_best,ndcg_delta_robust_minus_best,map_delta_robust_minus_best,mrr_delta_robust_minus_best
baseline_retrieval_als,0.1355258760474817,0.0512980488487069,0.0285763911225676,0.0285763911225676,0.1353711520132691,0.0512595509482634,0.0285640458266425,0.0285640458266425,-0.00015472403421259995,-3.849790044350293e-05,-1.2345295925100808e-05,-1.2345295925100808e-05
baseline_ranker,0.1660807783237817,0.0682880107404637,0.0415688437347459,0.0415688437347459,0.1662293133966257,0.0685961693943084,0.0419010657881592,0.0419010657881592,0.00014853507284398604,0.0003081586538447034,0.00033222205341330163,0.00033222205341330163
final_retrieval_two_tower_faiss_hybrid,0.1279443983710653,0.0485022703741781,0.0270890986983333,0.0270890986983333,0.1280867444825409,0.0485252507269913,0.0270848432136989,0.0270848432136989,0.00014234611147559417,2.29803528132011e-05,-4.255484634400203e-06,-4.255484634400203e-06
final_ranker_two_tower_hybrid,0.1651276782730322,0.0675640189621918,0.0409125355940137,0.0409125355940137,0.1648367970887125,0.067532493504939,0.0409205818597043,0.0409205818597043,-0.000290881184319719,-3.152545725279565e-05,8.04626569059913e-06,8.04626569059913e-06
final_ranker_ensemble,0.1681045686912822,0.0691321809911536,0.0420720565701827,0.0420720565701827,0.1683706940301278,0.069412704847873,0.0423422087711212,0.0423422087711212,0.0002661253388455964,0.0002805238567193946,0.0002701522009384977,0.0002701522009384977
