model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07766023646546359,0.03680733497009181,0.0246510800960085,0.0246510800960085,8035
baseline_retrieval_als,20,0.13092719352831364,0.050121113280637945,0.028224994094477644,0.028224994094477644,8035
baseline_retrieval_als,50,0.25189794648413194,0.07396599418768038,0.03198891644100817,0.03198891644100817,8035
baseline_ranker,10,0.08288736776602365,0.039700555145042754,0.026733981292164193,0.026733981292164193,8035
baseline_ranker,20,0.13963907902924705,0.05397848787657743,0.030615899496146695,0.030615899496146695,8035
baseline_ranker,50,0.2652146857498444,0.07874495088126472,0.03453219564279995,0.03453219564279995,8035
