model,k,recall,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.06994399502177971,0.034144426534967895,0.023395561086911397,0.023395561086911397,8035
final_retrieval_two_tower_faiss_hybrid,20,0.12433105164903548,0.04784131715054181,0.027124365300119194,0.027124365300119194,8035
final_retrieval_two_tower_faiss_hybrid,50,0.2465463596764157,0.07190992390407078,0.030913384926137197,0.030913384926137197,8035
final_ranker_two_tower_hybrid,10,0.08587429993777225,0.041375527499710366,0.028062691992374558,0.028062691992374558,8035
final_ranker_two_tower_hybrid,20,0.1449906658369633,0.05613555191350432,0.032016226681078216,0.032016226681078216,8035
final_ranker_two_tower_hybrid,50,0.26845052893590543,0.08055019474801434,0.035903662279460354,0.035903662279460354,8035
final_ranker_ensemble,10,0.08537647790914749,0.04070321097194444,0.02729684613940987,0.02729684613940987,8035
final_ranker_ensemble,20,0.14561294337274425,0.05576985291470042,0.031344280876859885,0.031344280876859885,8035
final_ranker_ensemble,50,0.27268201617921595,0.08073961885915858,0.03525538437557911,0.03525538437557911,8035
