model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.08002489110143124,0.03889172010450743,0.0266115506563546,0.0266115506563546,8035
baseline_retrieval_als,20,0.14586185438705662,0.05528258456128246,0.03097851351899529,0.03097851351899529,8035
baseline_retrieval_als,50,0.2891101431238332,0.08354273911677741,0.035448899642018514,0.035448899642018514,8035
baseline_ranker,10,0.09757311761045426,0.045998068135871026,0.03048863602690604,0.03048863602690604,8035
baseline_ranker,20,0.16303671437461106,0.062342611408122126,0.034868747608550764,0.034868747608550764,8035
baseline_ranker,50,0.29931549471064095,0.08920785195545382,0.039107323869569346,0.039107323869569346,8035
