model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07803360298693217,0.03704166465404275,0.024858259005738747,0.024858259005738747,8035
baseline_retrieval_als,20,0.1310516490354698,0.050282914331912114,0.028407324230228483,0.028407324230228483,8035
baseline_retrieval_als,50,0.25102675793403856,0.07394838134983524,0.03214944904752143,0.03214944904752143,8035
baseline_ranker,10,0.08238954573739889,0.03971398128255231,0.026925850199030012,0.026925850199030012,8035
baseline_ranker,20,0.14399502177971374,0.05519357357985331,0.031126649053395673,0.031126649053395673,8035
baseline_ranker,50,0.26260112009956443,0.07850036494187465,0.034773705906367365,0.034773705906367365,8035
