model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07819133792966865,0.07819133792966865,0.03684791355000755,0.024522052546443473,0.024522052546443473,161578
baseline_retrieval_als,20,0.13665226701654928,0.13665226701654928,0.05149922407666832,0.0284758636529657,0.0284758636529657,161578
baseline_retrieval_als,50,0.27005532931463444,0.27005532931463444,0.07777255716908578,0.03261272530408388,0.03261272530408388,161578
baseline_ranker,10,0.10836871356248995,0.10836871356248995,0.055306508540240745,0.03934627032558088,0.03934627032558088,161578
baseline_ranker,20,0.17196029162385967,0.17196029162385967,0.07126703921478021,0.04366559928200604,0.04366559928200604,161578
baseline_ranker,50,0.2972805703746797,0.2972805703746797,0.09599082524853947,0.04757554565158291,0.04757554565158291,161578
