model,k,recall,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.07529558182949596,0.03671011565740465,0.025220957912308214,0.025220957912308214,8035
final_retrieval_two_tower_faiss_hybrid,20,0.13341630367143745,0.05127077840377435,0.029146948915646658,0.029146948915646658,8035
final_retrieval_two_tower_faiss_hybrid,50,0.27268201617921595,0.07870682785288471,0.03346806897397702,0.03346806897397702,8035
final_ranker_two_tower_hybrid,10,0.09508400746733042,0.04375640658238815,0.02840015408777072,0.02840015408777072,8035
final_ranker_two_tower_hybrid,20,0.16652146857498445,0.06167703566134027,0.03324586530478037,0.03324586530478037,8035
final_ranker_two_tower_hybrid,50,0.30180460485376476,0.08832245653017698,0.03744249903721356,0.03744249903721356,8035
final_ranker_ensemble,10,0.09869321717485999,0.046603143565713455,0.031029128515127194,0.031029128515127194,8035
final_ranker_ensemble,20,0.16751711263223398,0.06393139737278833,0.035746317375523744,0.035746317375523744,8035
final_ranker_ensemble,50,0.30479153702551337,0.09106821921987884,0.040059052049577465,0.040059052049577465,8035
