model,k,recall,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07965152457996266,0.03873650881002462,0.026516678025701013,0.026516678025701013,8035
baseline_retrieval_als,20,0.14548848786558805,0.05513918028545062,0.0308931350470399,0.0308931350470399,8035
baseline_retrieval_als,50,0.28873677660236463,0.08341248372338786,0.03537090533182381,0.03537090533182381,8035
baseline_ranker,10,0.09881767268201617,0.04670262894107883,0.031167659347497486,0.031167659347497486,8035
baseline_ranker,20,0.16328562538892347,0.0628950500986265,0.03555637182479683,0.03555637182479683,8035
baseline_ranker,50,0.3004355942750467,0.08989779575914561,0.039804546469990994,0.039804546469990994,8035
