model,k,recall,ndcg,map,mrr,users
final_retrieval_two_tower_faiss_hybrid,10,0.057996266334785315,0.027621236622535166,0.018580219476299106,0.018580219476299106,8035
final_retrieval_two_tower_faiss_hybrid,20,0.10678282514001244,0.039830471170211046,0.02186592499136205,0.02186592499136205,8035
final_retrieval_two_tower_faiss_hybrid,50,0.209085252022402,0.06001672053456978,0.025061885585275504,0.025061885585275504,8035
final_ranker_two_tower_hybrid,10,0.0821406347230865,0.039665209493895105,0.026917701326537626,0.026917701326537626,8035
final_ranker_two_tower_hybrid,20,0.14200373366521468,0.05471536169846282,0.03100484873965256,0.03100484873965256,8035
final_ranker_two_tower_hybrid,50,0.25874299937772244,0.07780967476161901,0.03468351662453996,0.03468351662453996,8035
