model,k,recall,hitrate,ndcg,map,mrr,users
baseline_retrieval_als,10,0.07815420416145763,0.07815420416145763,0.03681596021183794,0.0244913091264391,0.0244913091264391,161578
baseline_retrieval_als,20,0.13650992090507372,0.13650992090507372,0.051445294817234866,0.028441449319355126,0.028441449319355126,161578
baseline_retrieval_als,50,0.2698325267053683,0.2698325267053683,0.07771108867727228,0.03258058779870416,0.03258058779870416,161578
baseline_ranker,10,0.10778695119385065,0.10778695119385065,0.054886939487077804,0.038998905045025345,0.038998905045025345,161578
baseline_ranker,20,0.170648231813737,0.170648231813737,0.07065192580489157,0.04325889582067142,0.04325889582067142,161578
baseline_ranker,50,0.29744148337026083,0.29744148337026083,0.09566024473249532,0.047212044766674406,0.047212044766674406,161578
