baseline_weight,final_weight,recall,ndcg,map,mrr,tables_dir
0.65,0.35,0.14586185438705662,0.05771786684475013,0.03374163865757819,0.03374163865757819,outputs/tables/ens_sweeps/ens_b65_f35
0.55,0.44999999999999996,0.14561294337274425,0.05756967616876259,0.03361858820872305,0.03361858820872305,outputs/tables/ens_sweeps/ens_b55_f44
0.45,0.55,0.14648413192283757,0.05741333149140213,0.0331788856009323,0.0331788856009323,outputs/tables/ens_sweeps/ens_b45_f55
