reference,model_new,model_ref,k,new_recall,ref_recall,delta_recall,new_ndcg,ref_ndcg,delta_ndcg,new_map,ref_map,delta_map,new_mrr,ref_mrr,delta_mrr
robust,final_ranker_ensemble,final_ranker_ensemble,20,0.1711495376845857,0.1683706940301278,0.0027788436544579076,0.0711719386337029,0.069412704847873,0.0017592337858299,0.043768362118538,0.0423422087711212,0.0014261533474167962,0.043768362118538,0.0423422087711212,0.0014261533474167962
robust,final_ranker_two_tower_hybrid3,final_ranker_two_tower_hybrid,20,0.1698189109903576,0.1648367970887125,0.004982113901645102,0.0709634670464426,0.067532493504939,0.003430973541503596,0.0438899105088946,0.0409205818597043,0.002969328649190299,0.0438899105088946,0.0409205818597043,0.002969328649190299
robust,baseline_ranker,baseline_ranker,20,0.1661550458602037,0.1662293133966257,-7.42675364220069e-05,0.0686492084050561,0.0685961693943084,5.303901074769912e-05,0.0419769590454552,0.0419010657881592,7.589325729600443e-05,0.0419769590454552,0.0419010657881592,7.589325729600443e-05
best,final_ranker_ensemble,final_ranker_ensemble,20,0.1711495376845857,0.1681045686912822,0.003044968993303504,0.0711719386337029,0.0691321809911536,0.0020397576425492947,0.043768362118538,0.0420720565701827,0.0016963055483552938,0.043768362118538,0.0420720565701827,0.0016963055483552938
best,final_ranker_two_tower_hybrid3,final_ranker_two_tower_hybrid,20,0.1698189109903576,0.1651276782730322,0.004691232717325383,0.0709634670464426,0.0675640189621918,0.0033994480842508,0.0438899105088946,0.0409125355940137,0.002977374914880898,0.0438899105088946,0.0409125355940137,0.002977374914880898
best,baseline_ranker,baseline_ranker,20,0.1661550458602037,0.1660807783237817,7.426753642197914e-05,0.0686492084050561,0.0682880107404637,0.00036119766459240255,0.0419769590454552,0.0415688437347459,0.00040811531070930607,0.0419769590454552,0.0415688437347459,0.00040811531070930607
